Time[s],Load[kN]
0.310706,-0.0011
0.310741,-0.0012
0.310776,-0.0012
0.310812,-0.0013
0.310847,-0.0013
0.310882,-0.0013
0.310917,-0.0013
0.310952,-0.0013
0.310988,-0.0013
0.311023,-0.0013
0.311059,-0.0013
0.311094,-0.0012
0.31113,-0.0012
0.311166,-0.0012
0.311201,-0.0012
0.311237,-0.0013
0.311273,-0.0013
0.311311,-0.0013
0.311346,-0.0013
0.311382,-0.0013
0.372744,-0.0013
0.372848,-0.0012
0.372886,-0.0012
0.372923,-0.0012
0.372961,-0.0013
0.372998,-0.0012
0.373037,-0.0012
0.373076,-0.0012
0.373113,-0.0012
0.373261,-0.0011
0.373308,-0.0011
0.373345,-0.001
0.373429,-0.0011
0.373488,-0.0011
0.373527,-0.0011
0.373564,-0.0011
0.373604,-0.0011
0.37364,-0.0012
0.373676,-0.0012
0.373714,-0.0013
0.373755,-0.0013
0.373793,-0.0013
0.373831,-0.0013
0.373868,-0.0013
0.373905,-0.0013
0.373942,-0.0013
0.373979,-0.0013
0.37402,-0.0013
0.37406,-0.0013
0.374098,-0.0013
0.37418,-0.0012
0.374238,-0.0013
0.374418,-0.0013
0.374469,-0.0012
0.374507,-0.0012
0.374544,-0.0012
0.428485,-0.0013
0.428529,-0.0013
0.428566,-0.0013
0.428602,-0.0013
0.428637,-0.0012
0.428673,-0.0012
0.428709,-0.0011
0.428746,-0.0011
0.428782,-0.0011
0.428817,-0.0012
0.428853,-0.0012
0.428888,-0.0012
0.428923,-0.0012
0.428959,-0.0012
0.428994,-0.0012
0.429029,-0.0011
0.429065,-0.0012
0.4291,-0.0012
0.429135,-0.0012
0.42917,-0.0013
0.429206,-0.0012
0.429242,-0.0012
0.429277,-0.0012
0.429315,-0.0013
0.429351,-0.0013
0.429448,-0.0012
0.429495,-0.0012
0.429532,-0.0012
0.429568,-0.0012
0.429604,-0.0013
0.42964,-0.0013
0.429677,-0.0013
0.429714,-0.0013
0.42975,-0.0013
0.432427,-0.0013
0.487581,-0.0012
0.487622,-0.0011
0.487658,-0.0012
0.487693,-0.0012
0.487728,-0.0013
0.487764,-0.0014
0.487799,-0.0014
0.487835,-0.0013
0.487871,-0.0013
0.487907,-0.0012
0.487942,-0.0012
0.487977,-0.0012
0.488013,-0.0012
0.488048,-0.0013
0.488084,-0.0013
0.488119,-0.0013
0.488154,-0.0013
0.488189,-0.0012
0.488225,-0.0012
0.48826,-0.0011
0.488295,-0.0011
0.48833,-0.0011
0.488365,-0.0012
0.4884,-0.0012
0.488435,-0.0012
0.488471,-0.0013
0.488506,-0.0013
0.488544,-0.0013
0.48858,-0.0013
0.488617,-0.0013
0.488653,-0.0013
0.488689,-0.0013
0.488724,-0.0013
0.48876,-0.0012
0.488796,-0.0012
0.488832,-0.0013
0.54648,-0.0013
0.54652,-0.0013
0.546555,-0.0013
0.546591,-0.0013
0.546626,-0.0013
0.546662,-0.0013
0.546697,-0.0013
0.546732,-0.0012
0.546768,-0.0012
0.546803,-0.0012
0.546838,-0.0012
0.546873,-0.0013
0.546909,-0.0013
0.546944,-0.0013
0.54698,-0.0012
0.547015,-0.0012
0.54705,-0.0012
0.547085,-0.0013
0.547121,-0.0012
0.547156,-0.0012
0.547191,-0.0012
0.547227,-0.0012
0.547264,-0.0013
0.547299,-0.0013
0.547334,-0.0013
0.54737,-0.0013
0.547406,-0.0013
0.547442,-0.0013
0.547478,-0.0013
0.547513,-0.0013
0.54755,-0.0012
0.547585,-0.0012
0.547621,-0.0012
0.547657,-0.0012
0.547693,-0.0012
0.605393,-0.0012
0.60544,-0.0012
0.605476,-0.0012
0.605511,-0.0012
0.605547,-0.0012
0.605582,-0.0012
0.605617,-0.0012
0.605653,-0.0012
0.605688,-0.0012
0.605723,-0.0012
0.605758,-0.0012
0.605793,-0.0013
0.605829,-0.0013
0.605864,-0.0013
0.605899,-0.0013
0.605934,-0.0012
0.605971,-0.0012
0.606007,-0.0011
0.606042,-0.0012
0.606078,-0.0012
0.606113,-0.0013
0.606149,-0.0013
0.606185,-0.0012
0.60622,-0.0012
0.606255,-0.0012
0.60629,-0.0012
0.606326,-0.0013
0.606362,-0.0013
0.606398,-0.0012
0.606434,-0.0011
0.60647,-0.0011
0.606508,-0.0012
0.606544,-0.0012
0.60658,-0.0013
0.606616,-0.0012
0.664614,-0.0012
0.664663,-0.0013
0.6647,-0.0013
0.664735,-0.0013
0.66477,-0.0012
0.664806,-0.0012
0.664841,-0.0012
0.664877,-0.0012
0.664913,-0.0012
0.664948,-0.0013
0.664983,-0.0013
0.665018,-0.0013
0.665053,-0.0013
0.665089,-0.0013
0.665124,-0.0013
0.665159,-0.0013
0.665195,-0.0012
0.66523,-0.0012
0.665265,-0.0012
0.665301,-0.0013
0.665336,-0.0014
0.665371,-0.0013
0.665436,-0.0013
0.665471,-0.0013
0.665507,-0.0013
0.665541,-0.0013
0.665577,-0.0013
0.665613,-0.0013
0.665649,-0.0013
0.665685,-0.0012
0.665721,-0.0012
0.665758,-0.0012
0.665793,-0.0012
0.665829,-0.0012
0.665865,-0.0013
0.665902,-0.0013
0.723528,-0.0013
0.723568,-0.0013
0.723604,-0.0013
0.72364,-0.0013
0.723675,-0.0012
0.72371,-0.0012
0.723746,-0.0013
0.723781,-0.0013
0.723816,-0.0014
0.723851,-0.0014
0.723887,-0.0013
0.723922,-0.0013
0.723957,-0.0013
0.723993,-0.0013
0.724028,-0.0013
0.724063,-0.0013
0.7241,-0.0012
0.724136,-0.0012
0.72417,-0.0012
0.724206,-0.0012
0.724241,-0.0013
0.724276,-0.0013
0.724311,-0.0012
0.724346,-0.0012
0.724378,-0.0012
0.724402,-0.0012
0.724424,-0.0012
0.724447,-0.0012
0.724469,-0.0012
0.724491,-0.0012
0.724513,-0.0012
0.724535,-0.0012
0.724557,-0.0012
0.72458,-0.0012
0.724602,-0.0011
0.782762,-0.0011
0.782803,-0.0012
0.782839,-0.0012
0.782875,-0.0012
0.78291,-0.0012
0.782946,-0.0013
0.782981,-0.0013
0.783016,-0.0013
0.783051,-0.0013
0.783087,-0.0013
0.783122,-0.0013
0.783158,-0.0013
0.783196,-0.0012
0.783231,-0.0012
0.783266,-0.0013
0.783301,-0.0013
0.783337,-0.0013
0.783416,-0.0013
0.783453,-0.0013
0.783488,-0.0013
0.783524,-0.0013
0.783559,-0.0014
0.783595,-0.0014
0.78363,-0.0014
0.783665,-0.0013
0.7837,-0.0013
0.783735,-0.0013
0.783772,-0.0013
0.783808,-0.0012
0.783843,-0.0012
0.783881,-0.0012
0.783916,-0.0013
0.783952,-0.0013
0.783988,-0.0013
0.784024,-0.0013
0.784061,-0.0012
0.841663,-0.0012
0.841689,-0.0012
0.841711,-0.0013
0.841732,-0.0014
0.841754,-0.0013
0.841776,-0.0013
0.841797,-0.0012
0.841819,-0.0012
0.84184,-0.0012
0.841862,-0.0011
0.841883,-0.0011
0.841905,-0.0012
0.841926,-0.0012
0.841948,-0.0012
0.841969,-0.0012
0.841991,-0.0012
0.842012,-0.0012
0.842034,-0.0012
0.842056,-0.0012
0.842077,-0.0012
0.842099,-0.0013
0.84212,-0.0013
0.842142,-0.0013
0.842163,-0.0014
0.842184,-0.0014
0.842206,-0.0014
0.842229,-0.0013
0.842251,-0.0013
0.842273,-0.0012
0.842295,-0.0012
0.842318,-0.0012
0.84234,-0.0012
0.842362,-0.0012
0.842384,-0.0012
0.842406,-0.0012
0.900918,-0.0012
0.900959,-0.0012
0.900995,-0.0012
0.90103,-0.0013
0.901066,-0.0013
0.901101,-0.0013
0.901137,-0.0012
0.901172,-0.0012
0.901207,-0.0012
0.901243,-0.0012
0.901278,-0.0012
0.901313,-0.0012
0.901349,-0.0012
0.901408,-0.0013
0.901446,-0.0013
0.901482,-0.0013
0.901517,-0.0013
0.901553,-0.0013
0.901589,-0.0013
0.901624,-0.0013
0.901659,-0.0013
0.901695,-0.0013
0.901731,-0.0013
0.901766,-0.0013
0.901801,-0.0013
0.901836,-0.0012
0.901872,-0.0013
0.901908,-0.0013
0.901944,-0.0013
0.901979,-0.0013
0.902015,-0.0013
0.902051,-0.0012
0.902086,-0.0013
0.902123,-0.0013
0.902159,-0.0013
0.902195,-0.0013
0.959826,-0.0012
0.959871,-0.0012
0.959907,-0.0012
0.959943,-0.0011
0.959978,-0.0011
0.960013,-0.0011
0.960049,-0.0012
0.960084,-0.0012
0.960119,-0.0012
0.960155,-0.0012
0.960191,-0.0012
0.960226,-0.0012
0.960262,-0.0012
0.960298,-0.0012
0.960333,-0.0012
0.960368,-0.0012
0.960405,-0.0012
0.96044,-0.0013
0.960476,-0.0013
0.960512,-0.0013
0.960548,-0.0012
0.960583,-0.0012
0.960618,-0.0012
0.960654,-0.0012
0.960689,-0.0012
0.960725,-0.0012
0.960762,-0.0012
0.960798,-0.0012
0.960834,-0.0012
0.96087,-0.0012
0.960906,-0.0012
0.960942,-0.0011
0.960978,-0.0011
0.961013,-0.0011
0.961049,-0.0011
1.01875,-0.0012
1.01879,-0.0012
1.01883,-0.0012
1.01886,-0.0012
1.0189,-0.0012
1.01893,-0.0012
1.01897,-0.0013
1.019,-0.0013
1.01904,-0.0013
1.01907,-0.0012
1.01911,-0.0012
1.01914,-0.0012
1.01918,-0.0012
1.01921,-0.0012
1.01925,-0.0012
1.01928,-0.0012
1.01932,-0.0012
1.01936,-0.0012
1.01939,-0.0012
1.01943,-0.0013
1.01946,-0.0013
1.0195,-0.0013
1.01953,-0.0013
1.01957,-0.0013
1.0196,-0.0013
1.01964,-0.0013
1.01967,-0.0013
1.01971,-0.0013
1.01975,-0.0013
1.01978,-0.0012
1.01982,-0.0013
1.01985,-0.0013
1.01989,-0.0012
1.01993,-0.0012
1.01996,-0.0012
1.07797,-0.0012
1.07802,-0.0012
1.07806,-0.0012
1.07809,-0.0012
1.07813,-0.0012
1.07816,-0.0012
1.0782,-0.0012
1.07823,-0.0012
1.07827,-0.0013
1.0783,-0.0013
1.07834,-0.0013
1.07837,-0.0013
1.07841,-0.0013
1.07845,-0.0013
1.07848,-0.0013
1.07852,-0.0013
1.07855,-0.0013
1.07859,-0.0013
1.07862,-0.0013
1.07866,-0.0013
1.07869,-0.0013
1.07873,-0.0012
1.07876,-0.0011
1.0788,-0.001
1.07883,-0.0011
1.07887,-0.0012
1.07891,-0.0012
1.07894,-0.0012
1.07898,-0.0012
1.07902,-0.0012
1.07905,-0.0012
1.07909,-0.0012
1.07912,-0.0012
1.07916,-0.0013
1.07919,-0.0013
1.07923,-0.0013
1.1369,-0.0013
1.13694,-0.0013
1.13698,-0.0013
1.13701,-0.0013
1.13705,-0.0013
1.13709,-0.0013
1.13712,-0.0012
1.13716,-0.0012
1.13719,-0.0012
1.13723,-0.0012
1.13726,-0.0012
1.13728,-0.0012
1.1373,-0.0012
1.13732,-0.0013
1.13734,-0.0013
1.13737,-0.0012
1.13741,-0.0012
1.13744,-0.0011
1.13746,-0.0011
1.13748,-0.0012
1.1375,-0.0012
1.13752,-0.0012
1.13754,-0.0013
1.13757,-0.0012
1.13759,-0.0012
1.13761,-0.0012
1.13763,-0.0012
1.13765,-0.0013
1.13768,-0.0013
1.1377,-0.0013
1.13772,-0.0012
1.13774,-0.0012
1.13776,-0.0012
1.13779,-0.0012
1.13781,-0.0012
1.19618,-0.0012
1.19625,-0.0012
1.19631,-0.0012
1.19638,-0.0012
1.19644,-0.0013
1.1965,-0.0013
1.19657,-0.0013
1.19663,-0.0013
1.1967,-0.0013
1.19676,-0.0012
1.19682,-0.0012
1.19689,-0.0013
1.19695,-0.0012
1.19701,-0.0012
1.19708,-0.0012
1.19714,-0.0012
1.1972,-0.0013
1.19727,-0.0013
1.19733,-0.0013
1.19742,-0.0013
1.19749,-0.0013
1.19756,-0.0012
1.19762,-0.0012
1.19768,-0.0012
1.19775,-0.0012
1.19781,-0.0012
1.19787,-0.0012
1.19794,-0.0013
1.198,-0.0013
1.19807,-0.0013
1.19813,-0.0013
1.1982,-0.0013
1.19826,-0.0013
1.19832,-0.0013
1.19839,-0.0013
1.19845,-0.0012
1.25511,-0.0013
1.25518,-0.0013
1.25525,-0.0013
1.25531,-0.0014
1.25537,-0.0014
1.25544,-0.0013
1.2555,-0.0013
1.25556,-0.0013
1.25563,-0.0012
1.25569,-0.0012
1.25576,-0.0011
1.25582,-0.0011
1.25589,-0.0011
1.25595,-0.0012
1.25601,-0.0013
1.25608,-0.0013
1.25614,-0.0012
1.2562,-0.0012
1.25627,-0.0012
1.25633,-0.0012
1.25639,-0.0012
1.25646,-0.0011
1.25652,-0.0011
1.25658,-0.0011
1.25665,-0.0011
1.25671,-0.0012
1.25678,-0.0011
1.25684,-0.0012
1.25691,-0.0011
1.25697,-0.0011
1.25704,-0.0011
1.2571,-0.0012
1.25717,-0.0012
1.25723,-0.0014
1.2573,-0.0014
1.31434,-0.0014
1.31439,-0.0014
1.31443,-0.0013
1.31448,-0.0013
1.31452,-0.0012
1.31456,-0.0012
1.31461,-0.0012
1.31465,-0.0012
1.31469,-0.0012
1.31473,-0.0012
1.31478,-0.0011
1.31482,-0.0012
1.31486,-0.0012
1.31491,-0.0012
1.31495,-0.0013
1.31499,-0.0013
1.31503,-0.0013
1.31508,-0.0013
1.31512,-0.0014
1.31516,-0.0014
1.31521,-0.0013
1.31525,-0.0013
1.31529,-0.0012
1.31533,-0.0012
1.31538,-0.0012
1.31542,-0.0011
1.31546,-0.0011
1.31551,-0.0011
1.31555,-0.0012
1.31559,-0.0013
1.31564,-0.0013
1.31568,-0.0013
1.31573,-0.0013
1.31577,-0.0013
1.31581,-0.0013
1.31586,-0.0013
1.37327,-0.0013
1.37335,-0.0013
1.37346,-0.0013
1.37353,-0.0013
1.3736,-0.0013
1.37367,-0.0013
1.37374,-0.0013
1.37381,-0.0013
1.37388,-0.0013
1.37395,-0.0012
1.37402,-0.0012
1.3741,-0.0012
1.37417,-0.0012
1.37424,-0.0013
1.37431,-0.0013
1.37438,-0.0013
1.37445,-0.0013
1.37452,-0.0013
1.37459,-0.0013
1.37466,-0.0013
1.37473,-0.0014
1.3748,-0.0013
1.37487,-0.0013
1.37494,-0.0012
1.37501,-0.0012
1.37508,-0.0012
1.37516,-0.0012
1.37523,-0.0013
1.3753,-0.0013
1.37537,-0.0013
1.37544,-0.0013
1.37551,-0.0013
1.37559,-0.0013
1.37566,-0.0013
1.37573,-0.0013
1.43218,-0.0012
1.43226,-0.0013
1.43233,-0.0014
1.4324,-0.0014
1.43247,-0.0014
1.43255,-0.0013
1.43262,-0.0012
1.43269,-0.0011
1.43276,-0.0011
1.43283,-0.0011
1.4329,-0.0011
1.43297,-0.0011
1.43304,-0.0012
1.43311,-0.0013
1.43318,-0.0014
1.43325,-0.0014
1.43332,-0.0014
1.43343,-0.0014
1.4335,-0.0013
1.43357,-0.0012
1.43364,-0.0011
1.43371,-0.0011
1.43378,-0.0011
1.43385,-0.0011
1.43392,-0.0012
1.43399,-0.0012
1.43406,-0.0012
1.43414,-0.0012
1.43421,-0.0012
1.43428,-0.0012
1.43435,-0.0012
1.43442,-0.0012
1.4345,-0.0013
1.43457,-0.0013
1.43464,-0.0012
1.4914,-0.0012
1.49149,-0.0012
1.49156,-0.0012
1.49163,-0.0012
1.4917,-0.0012
1.49177,-0.0012
1.49184,-0.0011
1.49191,-0.0011
1.49198,-0.0011
1.49205,-0.0012
1.49213,-0.0012
1.4922,-0.0012
1.49227,-0.0012
1.49234,-0.0012
1.49241,-0.0012
1.49248,-0.0012
1.49255,-0.0013
1.49262,-0.0013
1.49269,-0.0013
1.49276,-0.0012
1.49283,-0.0012
1.4929,-0.0013
1.49297,-0.0012
1.49304,-0.0012
1.49311,-0.0012
1.49318,-0.0012
1.49325,-0.0012
1.49333,-0.0013
1.49345,-0.0013
1.49352,-0.0013
1.4936,-0.0013
1.49367,-0.0012
1.49374,-0.0012
1.49381,-0.0012
1.49388,-0.0012
1.49396,-0.0012
1.55033,-0.0012
1.55038,-0.0012
1.55042,-0.0012
1.55047,-0.0012
1.55051,-0.0012
1.55055,-0.0013
1.5506,-0.0013
1.55064,-0.0013
1.55068,-0.0013
1.55073,-0.0013
1.55077,-0.0014
1.55081,-0.0013
1.55086,-0.0013
1.5509,-0.0012
1.55094,-0.0013
1.55098,-0.0012
1.55103,-0.0012
1.55107,-0.0012
1.55111,-0.0013
1.55116,-0.0013
1.5512,-0.0013
1.55124,-0.0012
1.55128,-0.0012
1.55133,-0.0011
1.55137,-0.0011
1.55141,-0.0012
1.55146,-0.0012
1.5515,-0.0012
1.55155,-0.0011
1.55159,-0.0011
1.55163,-0.0012
1.55168,-0.0012
1.55172,-0.0012
1.55177,-0.0012
1.55181,-0.0012
1.60957,-0.0012
1.60965,-0.0012
1.60972,-0.0012
1.60979,-0.0013
1.60986,-0.0012
1.60994,-0.0012
1.61001,-0.0012
1.61008,-0.0012
1.61015,-0.0013
1.61022,-0.0013
1.61029,-0.0013
1.61036,-0.0014
1.61043,-0.0014
1.6105,-0.0014
1.61057,-0.0014
1.61064,-0.0014
1.61071,-0.0013
1.61078,-0.0013
1.61085,-0.0012
1.61092,-0.0012
1.61099,-0.0012
1.61106,-0.0012
1.61113,-0.0013
1.6112,-0.0013
1.61127,-0.0013
1.61134,-0.0013
1.61141,-0.0013
1.61149,-0.0013
1.61156,-0.0013
1.61163,-0.0013
1.6117,-0.0012
1.61178,-0.0012
1.61185,-0.0012
1.61202,-0.0012
1.61209,-0.0012
1.61216,-0.0012
1.66849,-0.0012
1.66857,-0.0012
1.66865,-0.0012
1.66872,-0.0012
1.66879,-0.0012
1.66886,-0.0012
1.66893,-0.0012
1.669,-0.0012
1.66907,-0.0012
1.66914,-0.0013
1.66921,-0.0013
1.66928,-0.0014
1.66935,-0.0013
1.66946,-0.0013
1.66953,-0.0013
1.66961,-0.0012
1.66968,-0.0012
1.66975,-0.0012
1.66982,-0.0013
1.66989,-0.0013
1.66996,-0.0013
1.67003,-0.0013
1.6701,-0.0013
1.67017,-0.0012
1.67024,-0.0012
1.67031,-0.0012
1.67039,-0.0012
1.67046,-0.0013
1.67053,-0.0012
1.6706,-0.0012
1.67067,-0.0011
1.67075,-0.0011
1.67082,-0.0012
1.67089,-0.0012
1.67096,-0.0012
1.72772,-0.0013
1.72779,-0.0013
1.72786,-0.0013
1.72794,-0.0012
1.72801,-0.0012
1.72808,-0.0012
1.72815,-0.0013
1.72822,-0.0013
1.72829,-0.0013
1.72836,-0.0013
1.72843,-0.0013
1.7285,-0.0012
1.72857,-0.0012
1.72864,-0.0011
1.72871,-0.0011
1.72878,-0.0011
1.72885,-0.0011
1.72892,-0.0012
1.72899,-0.0013
1.72906,-0.0013
1.72913,-0.0013
1.72921,-0.0013
1.72928,-0.0013
1.72935,-0.0012
1.72947,-0.0012
1.72954,-0.0013
1.72961,-0.0013
1.72968,-0.0013
1.72975,-0.0013
1.72983,-0.0014
1.7299,-0.0014
1.72997,-0.0014
1.73004,-0.0014
1.73012,-0.0013
1.73019,-0.0013
1.73026,-0.0013
1.78663,-0.0013
1.78668,-0.0013
1.78674,-0.0013
1.78679,-0.0012
1.78685,-0.0012
1.7869,-0.0012
1.78694,-0.0012
1.78699,-0.0012
1.78704,-0.0012
1.78709,-0.0012
1.78714,-0.0012
1.78719,-0.0012
1.78724,-0.0012
1.78729,-0.0012
1.78734,-0.0012
1.78739,-0.0012
1.78743,-0.0012
1.78748,-0.0012
1.78753,-0.0012
1.78758,-0.0012
1.78762,-0.0012
1.78767,-0.0013
1.78772,-0.0013
1.78777,-0.0012
1.78782,-0.0012
1.78787,-0.0012
1.78792,-0.0012
1.78797,-0.0012
1.78802,-0.0013
1.78807,-0.0013
1.78812,-0.0014
1.78817,-0.0014
1.78821,-0.0013
1.78826,-0.0013
1.78831,-0.0012
1.84946,-0.0012
1.84959,-0.0012
1.84968,-0.0012
1.84976,-0.0012
1.84984,-0.0013
1.84992,-0.0014
1.84999,-0.0014
1.85007,-0.0014
1.85015,-0.0014
1.85023,-0.0013
1.85032,-0.0013
1.8504,-0.0013
1.85048,-0.0013
1.85056,-0.0013
1.85064,-0.0013
1.85072,-0.0013
1.8508,-0.0012
1.85088,-0.0012
1.85096,-0.0012
1.85103,-0.0012
1.85111,-0.0012
1.85119,-0.0012
1.85127,-0.0013
1.85135,-0.0013
1.85143,-0.0013
1.85151,-0.0013
1.85159,-0.0013
1.85167,-0.0012
1.85175,-0.0012
1.85183,-0.0011
1.85191,-0.0012
1.852,-0.0012
1.85208,-0.0012
1.85216,-0.0012
1.85224,-0.0011
1.90478,-0.0011
1.90487,-0.0012
1.90494,-0.0012
1.90501,-0.0012
1.90508,-0.0012
1.90515,-0.0012
1.90522,-0.0012
1.90529,-0.0012
1.90536,-0.0012
1.9055,-0.0012
1.90557,-0.0012
1.90564,-0.0012
1.90571,-0.0013
1.90578,-0.0013
1.90585,-0.0014
1.90593,-0.0013
1.906,-0.0013
1.90607,-0.0013
1.90613,-0.0013
1.90621,-0.0012
1.90628,-0.0012
1.90635,-0.0012
1.90642,-0.0013
1.90649,-0.0013
1.90656,-0.0013
1.90663,-0.0012
1.9067,-0.0011
1.90678,-0.001
1.90685,-0.001
1.90692,-0.0011
1.90699,-0.0012
1.90706,-0.0013
1.90714,-0.0014
1.90721,-0.0013
1.90728,-0.0013
1.90735,-0.0012
1.96367,-0.0012
1.96375,-0.0011
1.96383,-0.0011
1.9639,-0.0011
1.96397,-0.0011
1.96404,-0.0012
1.96411,-0.0012
1.96418,-0.0012
1.96425,-0.0012
1.96432,-0.0012
1.96439,-0.0012
1.96446,-0.0012
1.96453,-0.0012
1.9646,-0.0013
1.96467,-0.0014
1.96474,-0.0014
1.96481,-0.0014
1.96488,-0.0014
1.96495,-0.0014
1.96503,-0.0013
1.96509,-0.0013
1.96516,-0.0012
1.96523,-0.0012
1.9653,-0.0013
1.96537,-0.0013
1.96548,-0.0013
1.96553,-0.0013
1.96558,-0.0012
1.96562,-0.0012
1.96566,-0.0013
1.96571,-0.0013
1.96575,-0.0013
1.9658,-0.0013
1.96584,-0.0012
1.96589,-0.0013
2.02294,-0.0014
2.02302,-0.0014
2.02309,-0.0014
2.02316,-0.0013
2.02323,-0.0012
2.0233,-0.0012
2.02337,-0.0012
2.02344,-0.0012
2.02351,-0.0011
2.02358,-0.0011
2.02365,-0.0011
2.02372,-0.0011
2.02379,-0.0011
2.02386,-0.0011
2.02393,-0.0012
2.024,-0.0012
2.02407,-0.0012
2.02414,-0.0012
2.02421,-0.0013
2.02428,-0.0012
2.02435,-0.0012
2.02442,-0.0013
